244774470973043,0,bni.hq.menara_pejompongan,?,Aryos-MacBook-Air.local,Mac OS X,Mac OS X 15.1 BldID: 24B83,Apple Inc.,MacBook Air,8192,,Terinstall,244774470973043
207528942829929,0,bni.hq.sarinah,?,RDL-70003-MACBOOK.local,Mac OS X,Mac OS X 14.4 BldID: 23E214,Apple Inc.,MacBook Pro,18432,,Terinstall,207528942829929
336423866870613,0,server-dc-drc.root,?,COB1-20715.local,Mac OS X,Mac OS X 14.3 BldID: 23D56,Apple Inc.,MacBook Pro,18432,,Terinstall,336423866870613
227718356692798,0,bni.hq.menara_pejompongan,?,RDL-33898-MACBOOK.local,Mac OS X,Mac OS X 15.5 BldID: 24F74,Apple Inc.,MacBook Pro,18432,,Terinstall,227718356692798
373551970173329,0,bni.hq.rdtx_tower,?,Bayus-Laptop.local,Mac OS X,Mac OS X 15.5 BldID: 24F74,Apple Inc.,MacBook Air,16384,,Terinstall,373551970173329
419788870166809,0,bni.hq.sarinah,?,RDL-69305-Macbook.local,Mac OS X,Mac OS X 14.3 BldID: 23D56,Apple Inc.,MacBook Pro,18432,,Terinstall,419788870166809
389270651989426,0,server-dc-drc.root,?,RDL-900556-Macbook.local,Mac OS X,Mac OS X 15.2 BldID: 24C101,Apple Inc.,MacBook Air,8192,,Terinstall,389270651989426
519131883501358,0,bni.hq,?,CRR-36104-MAC.local,Mac OS X,Mac OS X 15.5 BldID: 24F74,Apple Inc.,MacBook Pro,18432,,Terinstall,519131883501358
272038898668266,0,bni.hq,?,MacBook-Pro.local,Mac OS X,Mac OS X 13.6.7 BldID: 22G720,Apple Inc.,MacBook Pro,8192,,Terinstall,272038898668266
250791882386714,11,bni.hq.rdtx_tower,?,WDL-67511-MACBOOK.local,Mac OS X,Mac OS X 14.4.1 BldID: 23E224,Apple Inc.,MacBook Pro,18432,,Terinstall,250791882386714
422497405386045,0,bni.hq.menara_pejompongan,?,RDL-32753-MACBOOK.local,Mac OS X,Mac OS X 14.7.6 BldID: 23H626,Apple Inc.,MacBook Pro,18432,,Terinstall,422497405386045
299483070587751,0,bni.hq.sarinah,?,Maverick-59869.local,Mac OS X,Mac OS X 14.7.2 BldID: 23H311,Apple Inc.,MacBook Pro,18432,,Terinstall,299483070587751
415371949299331,0,bni.hq,?,DGO-19877-MACBOOK.local,Mac OS X,Mac OS X 14.4.1 BldID: 23E224,Apple Inc.,MacBook Pro,18432,,Terinstall,415371949299331
460560546020631,12,bni.hq.sarinah,?,ikkys.local,Mac OS X,Mac OS X 14.5 BldID: 23F79,Apple Inc.,MacBook Pro,16384,,Terinstall,460560546020631
472317627946375,0,bni.hq.sarinah,?,J-MacBook-Pro-BNI.local,Mac OS X,Mac OS X 15.1 BldID: 24B83,Apple Inc.,MacBook Pro,8192,,Terinstall,472317627946375
746081003864342,0,bni.hq.menara_pejompongan,?,Ciso-40865-Macbook.local,Mac OS X,Mac OS X 15.4 BldID: 24E248,Apple Inc.,MacBook Pro,18432,,Terinstall,746081003864342
299697960552912,11,bni.hq.sarinah,?,RDL-822129-MACBOOK.local,Mac OS X,Mac OS X 15.5 BldID: 24F74,Apple Inc.,MacBook Pro,18432,,Terinstall,299697960552912
262109512052091,0,bni.hq.rdtx_tower,?,WDL-K070573-NB.local,Mac OS X,Mac OS X 14.4.1 BldID: 23E224,Apple Inc.,MacBook Pro,18432,,Terinstall,262109512052091
481570428632494,0,bni.hq.menara_pejompongan,?,Sarahs-MacBook-Air.local,Mac OS X,Mac OS X 15.3.1 BldID: 24D70,Apple Inc.,MacBook Air,8192,,Terinstall,481570428632494
304889371670738,0,bni.hq.menara_pejompongan,?,Qiel-900479.local,Mac OS X,Mac OS X 14.4 BldID: 23E214,Apple Inc.,MacBook Pro,18432,,Terinstall,304889371670738
424152520472654,11,bni.hq.menara_pejompongan,?,WDL-70572-MB.local,Mac OS X,Mac OS X 15.5 BldID: 24F74,Apple Inc.,MacBook Pro,18432,,Terinstall,424152520472654
598249153469269,0,bni.hq.menara_pejompongan,?,STA-21118-MACBOOK.local,Mac OS X,Mac OS X 15.4.1 BldID: 24E263,Apple Inc.,MacBook Pro,18432,,Terinstall,598249153469269
534427742775700,0,bni.hq.rdtx_tower,?,Farrels-MacBook-Pro.local,Mac OS X,Mac OS X 15.3.2 BldID: 24D81,Apple Inc.,MacBook Pro,16384,,Terinstall,534427742775700
895782997048728,0,bni.hq.menara_pejompongan,?,WDL-62525-MACBOOK.local,Mac OS X,Mac OS X 15.2 BldID: 24C101,Apple Inc.,MacBook Pro,18432,,Terinstall,895782997048728
347594860278911,0,bni.hq.sarinah,?,Maverick-900233.local,Mac OS X,Mac OS X 14.7.2 BldID: 23H311,Apple Inc.,MacBook Pro,16384,,Terinstall,347594860278911
332681587633786,11,bni.hq.citicon,?,RDL-43191-MACBOOK.local,Mac OS X,Mac OS X 15.4.1 BldID: 24E263,Apple Inc.,MacBook Pro,18432,,Terinstall,332681587633786
620520078866883,0,bni.hq.menara_pejompongan,?,STA-33901-MACBOOK.local,Mac OS X,Mac OS X 15.0.1 BldID: 24A348,Apple Inc.,MacBook Pro,18432,,Terinstall,620520078866883
324446959502357,12,bni.hq.sarinah,?,MAVERICK-67939.local,Mac OS X,Mac OS X 14.6.1 BldID: 23G93,Apple Inc.,MacBook Pro,18432,,Terinstall,324446959502357
461603750070047,0,bni.hq.rdtx_tower,?,Yanuars-MacBook-Air.local,Mac OS X,Mac OS X 15.5 BldID: 24F74,Apple Inc.,MacBook Air,8192,,Terinstall,461603750070047
906295258478198,0,server-dc-drc.root,?,RDL-67515-MACBOOK.local,Mac OS X,Mac OS X 14.4 BldID: 23E214,Apple Inc.,MacBook Pro,18432,,Terinstall,906295258478198
616238871769108,11,bni.hq.sarinah,?,IMem-M3-Pro.local,Mac OS X,Mac OS X 14.3 BldID: 23D56,Apple Inc.,MacBook Pro,18432,,Terinstall,616238871769108
994371781925118,12,bni.hq.menara_pejompongan,?,RDL-52316-Macbook.local,Mac OS X,Mac OS X 15.5 BldID: 24F74,Apple Inc.,MacBook Pro,18432,,Terinstall,994371781925118
453100663742272,0,server-dc-drc.root,?,Apples-MBP.mshome.net,Mac OS X,Mac OS X 12.7.6 BldID: 21H1320,Apple Inc.,MacBook Pro,8192,,Terinstall,453100663742272
398310256988806,0,bni.hq.sarinah,?,RDL-70000-Macbook.local,Mac OS X,Mac OS X 14.3 BldID: 23D56,Apple Inc.,MacBook Pro,18432,,Terinstall,398310256988806
651415768167802,0,bni.hq.menara_pejompongan,?,WDL-67929-MACBOOK.local,Mac OS X,Mac OS X 15.0.1 BldID: 24A348,Apple Inc.,MacBook Pro,18432,,Terinstall,651415768167802
343142452990363,0,bni.hq.sarinah,?,RDC-68146-Macbook.local,Mac OS X,Mac OS X 15.3 BldID: 24D60,Apple Inc.,MacBook Pro,8192,,Terinstall,343142452990363
520352625967715,12,bni.hq.sarinah,?,Maverick-68243-2.local,Mac OS X,Mac OS X 14.0 BldID: 23A344,Apple Inc.,MacBook Pro,8192,,Terinstall,520352625967715
419400354365781,0,bni.hq.menara_pejompongan,?,STA-33483-MACBOOK.local,Mac OS X,Mac OS X 15.5 BldID: 24F74,Apple Inc.,MacBook Pro,18432,,Terinstall,419400354365781
798209478754058,0,bni.hq.menara_pejompongan,?,RDL-70621-MACBOOK.local,Mac OS X,Mac OS X 14.6.1 BldID: 23G93,Apple Inc.,MacBook Pro,18432,,Terinstall,798209478754058
361103975931692,11,bni.hq.rdtx_tower,?,WDL-56559-NB.local,Mac OS X,Mac OS X 14.4.1 BldID: 23E224,Apple Inc.,MacBook Pro,18432,,Terinstall,361103975931692
476667893632786,0,bni.hq.menara_pejompongan,?,ADV-70610-Macbook.local,Mac OS X,Mac OS X 15.5 BldID: 24F74,Apple Inc.,MacBook Pro,18432,,Terinstall,476667893632786
